name,poi_class,display_category,lon,lat,ring_mi
,,Doctor,-81.63191700123133,30.15430597329832,5
,,Doctor,-81.63191700123133,30.15430597329832,5
,,Specialized Health Care,-81.63191215053197,30.154536632074628,5
,,Vision Or Eye Care Clinic,-81.6319351196289,30.154556274414105,5
,,Vision Or Eye Care Clinic,-81.6319351196289,30.154556274414105,5
,,Hospital,-81.631589,30.15863299999999,5
,,Specialized Health Care,-81.63181176,30.158717700000008,5
,,Specialty School,-81.63178347,30.158821130000003,5
,,Diagnostics Imaging Or Lab Service,-81.63184521,30.15891393,5
,,Dental Clinic,-81.63193648,30.158647010000003,5
,,Restaurant,-81.63234799,30.15821795000001,5
,,Uncategorized,-81.63216347283749,30.15729030055487,5
,,Family Service,-81.63225176000002,30.157314550000002,5
,,Automotive Service,-81.63220054,30.156609020000005,5
,,Casual Eatery,-81.63214836,30.156773389999998,5
,,Wellness Service,-81.632789,30.157360000000008,5
,,Uncategorized,-81.632591,30.156678000000007,5
,,Complementary And Alternative Medicine,-81.63312365,30.156768489999994,5
,,Home Service,-81.6330834452345,30.15756145305143,5
,,Real Estate Service,-81.6330834452345,30.15756145305143,5
,,Vision Or Eye Care Clinic,-81.63356625,30.15799501,5
,,Gym,-81.63353365785568,30.158694829954303,5
,,Animal And Pet Store,-81.63352189,30.158763550000003,5
,,Animal Or Pet Service,-81.63353165,30.15878960000001,5
,,Music Venue,-81.63366,30.15866,5
,,Complementary And Alternative Medicine,-81.633713,30.158776000000007,5
,,Gym,-81.63373299,30.158785900000012,5
,,Animal Or Pet Service,-81.63376021140022,30.158757185544875,5
,,Complementary And Alternative Medicine,-81.63388,30.157340000000005,5
,,Complementary And Alternative Medicine,-81.63410239,30.157038949999997,5
,,Specialty Store,-81.63321813,30.15749437,5
,,Automotive Service,-81.63322476,30.157068789999997,5
,,Real Estate Service,-81.63318303,30.156763440000002,5
,,Financial Service,-81.633182,30.156699999999997,5
,,Specialty Store,-81.633198,30.156714299999997,5
,,Financial Service,-81.633315,30.156744,5
,,Real Estate Service,-81.6331961,30.156678689999993,5
,,Automotive Service,-81.63321316,30.1560009,5
,,Food Bank,-81.633402,30.155247999999997,5
,,Christian Place Of Worship,-81.63349908,30.155265210000003,5
,,Farmers Market,-81.6340007085964,30.154282905712556,5
,,Christian Place Of Worship,-81.63351248599089,30.154281107021113,5
,,Christian Place Of Worship,-81.63358429,30.15439072,5
,,Farmers Market,-81.633683,30.154418999999994,5
,,Christian Place Of Worship,-81.63342802,30.154675490000002,5
,,Hardware Home And Garden Store,-81.63237576,30.155633369999993,5
