naics_code,naics_title_ours,selected_felten_code,selected_felten_name,aiie_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step4_match_flag
5241,Insurance carriers,5241,Insurance Carriers,2.058794,raw_exact_match,,notebook_raw_appendix_b,1131403.0,0.009808319385080169,True
4561,NAICS 4561 Health and personal care retailers,4461,Health and Personal Care Stores,0.3257251,raw_normalized_match,,notebook_raw_appendix_b,1081548.0,0.009376118159749166,True
6214,Outpatient care centers,6214,Outpatient Care Centers,0.9686477,raw_exact_match,,notebook_raw_appendix_b,1079429.0,0.009357748198933273,True
4441,Building material and supplies dealers,4441,Building Material and Supplies Dealers,0.1045359,raw_exact_match,,notebook_raw_appendix_b,1066224.0,0.009243271873980994,True
5616,Investigation and security services,5616,Investigation and Security Services,-0.3442498,raw_exact_match,,notebook_raw_appendix_b,1027817.0,0.00891031525054728,True
6212,Offices of dentists,6212,Offices of Dentists,0.4154884,raw_exact_match,,notebook_raw_appendix_b,1024339.0,0.008880163894380372,True
8111,Automotive repair and maintenance,8111,Automotive Repair and Maintenance,-1.094294,raw_exact_match,,notebook_raw_appendix_b,1011367.0,0.008767707484892983,True
4841,General freight trucking,,,,,,,1000083.0,0.008669884626069695,False
2381,Building foundation and exterior contractors,2381,"Foundation, Structure, and Building Exterior Contractors",-1.757023,raw_exact_match,,notebook_raw_appendix_b,970264.0,0.008411378792389118,True
4551,NAICS 4551 Department stores,4520,General Merchandise Stores,-0.007219,raw_normalized_match,,notebook_raw_appendix_b,958673.0,0.008310894499884623,True
6244,Child day care services,6244,Child Day Care Services,0.0572718,raw_exact_match,,notebook_raw_appendix_b,942396.0,0.008169786499790093,True
6113,Colleges and universities,6113,"Colleges, Universities, and Professional Schools",1.456562,raw_exact_match,,notebook_raw_appendix_b,942043.0,0.00816672628451496,True
6111,Elementary and secondary schools,6111,Elementary and Secondary Schools,1.315956,raw_exact_match,,notebook_raw_appendix_b,909221.0,0.007882186948083023,True
2361,Residential building construction,2361,Residential Building Construction,-0.7602519,raw_exact_match,,notebook_raw_appendix_b,885990.0,0.007680793573984848,True
6233,Community care facilities for the elderly,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,-0.4843864,raw_exact_match,,notebook_raw_appendix_b,879611.0,0.007625492969905288,True
2362,Nonresidential building construction,2362,Nonresidential Building Construction,-0.6632232,raw_exact_match,,notebook_raw_appendix_b,865561.0,0.007503691200455873,True
5419,Other professional and technical services,5419,"Other Professional, Scientific, and Technical Services",0.6022445,raw_exact_match,,notebook_raw_appendix_b,863010.0,0.0074815761603231005,True
5417,Scientific research and development services,5417,Scientific Research and Development Services,1.635407,raw_exact_match,,notebook_raw_appendix_b,846229.0,0.007336098901025547,True
4581,NAICS 4581 Clothing and clothing accessories retailers,4481,Clothing Stores,0.2268381,raw_normalized_match,,notebook_raw_appendix_b,832578.0,0.007217756128445193,True
5313,Activities related to real estate,5310,Real Estate,0.5238351,raw_normalized_match,,notebook_raw_appendix_b,822707.0,0.007132182799887529,True
2383,Building finishing contractors,2383,Building Finishing Contractors,-1.602616,raw_exact_match,,notebook_raw_appendix_b,821143.0,0.007118624225694015,True
4244,Grocery and related product wholesalers,,,,,,,784814.0,0.006803682127307695,False
2389,Other specialty trade contractors,2389,Other Specialty Trade Contractors,-1.358564,raw_exact_match,,notebook_raw_appendix_b,771680.0,0.0066898213130764765,True
4238,Machinery and supply merchant wholesalers,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.2607571,raw_exact_match,,notebook_raw_appendix_b,745697.0,0.00646457039666337,True
